日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
101/01/02,2104640.545,504.722,497889,6952.21,-119.87,-119.87,-119.87
101/01/03,2640781.03,641.389,623192,7053.38,101.17,-18.700000000000003,-9.350000000000001
101/01/04,2983756.821,758.456,728417,7082.97,29.59,10.889999999999986,3.6299999999999955
101/01/05,3062757.248,768.508,737780,7130.86,47.89,58.78,14.695
101/01/06,3314147.435,881.019,823810,7120.51,-10.35,48.43000000000001,9.686000000000002
101/01/09,2610433.477,713.234,634137,7093.04,-27.47,20.95999999999998,3.49333333333333
101/01/10,3595611.551,971.685,869327,7178.87,85.83,106.79000000000002,15.255714285714289
101/01/11,3322390.467,887.867,802539,7188.21,9.34,116.13,14.51625
101/01/12,2969248.375,789.479,731328,7186.58,-1.63,114.5,12.722222222222221
101/01/13,3497838.901,992.864,819762,7181.54,-5.04,109.45999999999998,10.945999999999998
101/01/16,3184795.667,768.426,719725,7103.62,-77.92,151.41,15.141
101/01/17,3720277.205,1011.333,899597,7221.08,117.46,167.70000000000002,16.770000000000003
101/01/18,4088756.925,1139.886,1020420,7233.69,12.61,150.71999999999997,15.071999999999997
101/01/30,4540373.544,1439.007,1113727,7407.41,173.72,276.54999999999995,27.654999999999994
101/01/31,5486734.18,1623.612,1283951,7517.08,109.67,396.56999999999994,39.657
